system,x_NaCl,pair,r_A,g_r,g_r_block_sd
cl4256,0.014925373,Mg-Cl,6.87000,0.83181842,0.00409430
cl4256,0.014925373,Mg-Cl,6.89000,0.83042215,0.00701838
cl4256,0.014925373,Mg-Cl,6.91000,0.82568168,0.00754337
cl4256,0.014925373,Mg-Cl,6.93000,0.82661506,0.00662148
cl4256,0.014925373,Mg-Cl,6.95000,0.82444531,0.00493765
cl4256,0.014925373,Mg-Cl,6.97000,0.82597966,0.00490524
cl4256,0.014925373,Mg-Cl,6.99000,0.82984662,0.00359422
cl4256,0.014925373,Mg-Cl,7.01000,0.82468676,0.00619646
cl4256,0.014925373,Mg-Cl,7.03000,0.83518720,0.00729472
cl4256,0.014925373,Mg-Cl,7.05000,0.82641288,0.00414776
cl4256,0.014925373,Mg-Cl,7.07000,0.83118828,0.00439719
cl4256,0.014925373,Mg-Cl,7.09000,0.83155361,0.00749168
cl4256,0.014925373,Mg-Cl,7.11000,0.83561327,0.00745668
cl4256,0.014925373,Mg-Cl,7.13000,0.83604805,0.00334137
cl4256,0.014925373,Mg-Cl,7.15000,0.84172567,0.00330837
cl4256,0.014925373,Mg-Cl,7.17000,0.84269256,0.00598893
cl4256,0.014925373,Mg-Cl,7.19000,0.84637153,0.00518259
cl4256,0.014925373,Mg-Cl,7.21000,0.84852990,0.00571550
cl4256,0.014925373,Mg-Cl,7.23000,0.85238262,0.00379681
cl4256,0.014925373,Mg-Cl,7.25000,0.85151477,0.00608232
cl4256,0.014925373,Mg-Cl,7.27000,0.85829434,0.00453043
cl4256,0.014925373,Mg-Cl,7.29000,0.85957487,0.00357547
cl4256,0.014925373,Mg-Cl,7.31000,0.86370032,0.00879118
cl4256,0.014925373,Mg-Cl,7.33000,0.87116003,0.00634313
cl4256,0.014925373,Mg-Cl,7.35000,0.87286223,0.00730611
cl4256,0.014925373,Mg-Cl,7.37000,0.87456810,0.00545663
cl4256,0.014925373,Mg-Cl,7.39000,0.87551852,0.00763351
cl4256,0.014925373,Mg-Cl,7.41000,0.87803640,0.00498098
cl4256,0.014925373,Mg-Cl,7.43000,0.88625172,0.00275283
cl4256,0.014925373,Mg-Cl,7.45000,0.89249073,0.00374583
cl4256,0.014925373,Mg-Cl,7.47000,0.89741420,0.00490155
cl4256,0.014925373,Mg-Cl,7.49000,0.90234011,0.00576504
cl4256,0.014925373,Mg-Cl,7.51000,0.90821068,0.00320317
cl4256,0.014925373,Mg-Cl,7.53000,0.91318594,0.00651880
cl4256,0.014925373,Mg-Cl,7.55000,0.91188455,0.00248904
cl4256,0.014925373,Mg-Cl,7.57000,0.92073806,0.00361828
cl4256,0.014925373,Mg-Cl,7.59000,0.92716243,0.00490330
cl4256,0.014925373,Mg-Cl,7.61000,0.93073116,0.00643974
cl4256,0.014925373,Mg-Cl,7.63000,0.93627701,0.00468628
cl4256,0.014925373,Mg-Cl,7.65000,0.93676737,0.00982839
cl4256,0.014925373,Mg-Cl,7.67000,0.94749650,0.00291217
