system,solute_cation,tag,x_LiCl,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Li,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_LiLi,S0_LiCl,S0_LiNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ,x_MgCl2,n_Mg,S0_MgMg,S0_MgCl,S0_MgNa
MgCl2-NaCl,Mg,cl3616,,1,0.02,0.1414213562373095,,3616,1952,58.48323235876517,367,1,2,74,302.26925799249716,0.5714868326725935,4,4,1.0,1,lowest-cost,,,8.8217368663305,6.478875793290222,,,,0.077902056631002,0.019547037094561,0.1903017062122499,0.1257150572666356,5.059300632817557e-18,0.2988505747126437,832,0.1650537156862795,0.0662326334667048,-0.1253688068204455
MgCl2-NaCl,Mg,cl3616,,2,0.02,0.1414213562373095,,3616,1952,58.49062485114025,367,1,2,388,326.02182267680917,0.5958601523394202,4,4,0.5,1,lowest-cost,,,8.820064481344158,8.51785708431247,,,,0.0822050436005082,0.0205493560532403,0.1900978478977965,0.1317938099226149,-9.424036695336244e-18,0.2988505747126437,832,0.1680091861258318,0.0699503107076823,-0.1241678915284592
MgCl2-NaCl,Mg,cl3616,,3,0.02,0.1414213562373095,,3616,1952,58.478142271950425,367,1,2,66,299.0308024813471,0.5695838995590922,4,4,0.75,1,lowest-cost,,,8.822888691145923,6.693858561447398,,,,0.0769522505722525,0.0217179398573299,0.1871626159648143,0.1256200399277977,2.492427538666677e-18,0.2988505747126437,832,0.158714417080612,0.0635799794196323,-0.1207018221801334
MgCl2-NaCl,Mg,cl3616,,4,0.02,0.1414213562373095,,3616,1952,58.46914537010029,367,1,2,113,320.00362650242613,0.5967997633622681,4,4,0.3,1,lowest-cost,,,8.824925193901176,6.2612994938017845,,,,0.0779267835310133,0.0157697316362197,0.198809424741654,0.1240431496818232,-8.973400498734504e-19,0.2988505747126437,832,0.1761015973062789,0.0691512876516007,-0.1358218668062149
MgCl2-NaCl,Mg,cl3680,,0,0.02,0.1414213562373095,,3680,1760,58.521455434859696,367,1,2,131,121.44040479645572,0.3463827351452,4,4,1.0,1,lowest-cost,,,9.001296650663555,8.171853522040545,,,,0.0844574815000431,0.0171539004883277,0.2094688222507773,0.1338997041094056,-5.794837226804203e-18,0.3529411764705882,960,0.1542075057714057,0.0710659845733936,-0.1250183377534556
MgCl2-NaCl,Mg,cl3680,,1,0.02,0.1414213562373095,,3680,1760,58.49937141812505,367,1,2,162,288.74734817586045,0.562629560631296,4,4,0.3,1,lowest-cost,,,9.006394232242885,8.39108868666678,,,,0.0806040064360968,0.0223498069413601,0.1937673818999521,0.1309340199024269,-3.827615506030758e-18,0.3529411764705882,960,0.1364309360496155,0.0637759990893373,-0.1093019056887133
MgCl2-NaCl,Mg,cl3680,,2,0.02,0.1414213562373095,,3680,1760,58.5405048204268,367,1,2,488,288.15089673056815,0.5593784646068304,4,4,0.3,1,lowest-cost,,,8.996903404798207,9.430983448790675,,,,0.0871074049824971,0.0167084090071915,0.2084664937506631,0.1369934084382589,-8.286024662633852e-19,0.3529411764705882,960,0.1568781131955132,0.073961713102885,-0.1247758698136617
MgCl2-NaCl,Mg,cl3680,,3,0.02,0.1414213562373095,,3680,1760,58.52168592150224,367,1,2,167,291.57914521988585,0.5649743151917835,4,4,0.75,1,lowest-cost,,,9.001243473540372,7.478531115534542,,,,0.0851872767099774,0.0178611091937075,0.2114603036744007,0.135402622625735,6.1511052673629515e-18,0.3529411764705882,960,0.154882251576525,0.0713016313958693,-0.1256742586173351
MgCl2-NaCl,Mg,cl3680,,4,0.02,0.1414213562373095,,3680,1760,58.522728155971585,367,1,2,208,311.61867190027533,0.5887066973128382,4,4,0.3,1,lowest-cost,,,9.001003019154306,7.630745600358979,,,,0.0834366206233267,0.0155469647311126,0.2092120094004348,0.1316028140445077,-1.4601171511061077e-18,0.3529411764705882,960,0.1552414647018901,0.0711545185622973,-0.1264175763733884
MgCl2-NaCl,Mg,cl3744,,0,0.02,0.1414213562373095,,3744,1568,58.56326814538606,367,1,2,114,106.3031931184262,0.3229594660711188,4,4,0.5,1,lowest-cost,,,9.175806953608284,9.3076647684971,,,,0.0909220247165208,0.0162678253749958,0.2255487782997888,0.1427290580724328,-8.864320088257163e-18,0.4096385542168674,1088,0.1413696980166854,0.0745673523474814,-0.1202957971364138
